@relation "asm"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{org.objectweb.asm.tree.analysis.AnalyzerException,java.lang.IllegalStateException,java.lang.AssertionError,java.lang.UnsupportedOperationException,java.lang.IllegalArgumentException,org.objectweb.asm.tree.UnsupportedClassVersionException}

@data
64,"IfStatement","null",false,"","java.lang.Class org.objectweb.asm.commons.SerialVersionUIDAdder ","","getClass ","","",java.lang.IllegalStateException
65,"CatchClause","java.io.IOException",false,"","void long ","","addSVUID computeSVUID ","","",java.lang.IllegalStateException
66,"CatchClause","java.security.NoSuchAlgorithmException",true,"value ","byte java.security.MessageDigest ","SHA ","getInstance digest ","","",java.lang.UnsupportedOperationException
67,"IfStatement","null",false,"","java.lang.Class org.objectweb.asm.commons.InstructionAdapter ","","getClass ","","",java.lang.IllegalStateException
68,"SwitchStatement","null",true,"opcode ","int ","","","","",java.lang.IllegalArgumentException
69,"SwitchStatement","null",true,"operand ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
70,"SwitchStatement","null",true,"opcode ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
71,"SwitchStatement","null",true,"opcode ","int ","","","","",java.lang.IllegalArgumentException
72,"SwitchStatement","null",true,"opcode ","int ","","","","",java.lang.IllegalArgumentException
73,"SwitchStatement","null",true,"opcode ","int ","","","","",java.lang.IllegalArgumentException
74,"SwitchStatement","null",true,"opcode ","int ","","","","",java.lang.IllegalArgumentException
75,"SwitchStatement","null",true,"opcode ","int ","","","","",java.lang.IllegalArgumentException
76,"IfStatement","null",true,"asm5 api value method ","int java.lang.Object org.objectweb.asm.Type org.objectweb.asm.Opcodes org.objectweb.asm.Handle ","","getSort ","","java.lang.UnsupportedOperationException java.lang.IllegalArgumentException ",java.lang.UnsupportedOperationException
77,"IfStatement","null",true,"asm7 api value ","int java.lang.Object org.objectweb.asm.ConstantDynamic org.objectweb.asm.Opcodes ","","","","java.lang.UnsupportedOperationException java.lang.IllegalArgumentException ",java.lang.UnsupportedOperationException
78,"IfStatement","null",true,"value ","java.lang.Object org.objectweb.asm.ConstantDynamic ","","","","java.lang.UnsupportedOperationException java.lang.UnsupportedOperationException ",java.lang.IllegalArgumentException
79,"IfStatement","null",true,"is interface ","boolean ","","","","",java.lang.IllegalArgumentException
