@relation "itext"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.lang.IndexOutOfBoundsException,com.itextpdf.kernel.PdfException,java.lang.UnsupportedOperationException,java.lang.RuntimeException,com.itextpdf.barcodes.qrcode.WriterException,com.itextpdf.io.IOException,java.io.IOException,java.lang.IllegalStateException,com.itextpdf.io.codec.brotli.dec.BrotliRuntimeException,com.itextpdf.io.font.woff2.FontCompressionException,java.io.EOFException,com.itextpdf.kernel.xmp.XMPException,com.itextpdf.pdfa.PdfAConformanceException,com.itextpdf.svg.exceptions.SvgProcessingException}

@data
136,"IfStatement","null",false,"endian ","int ","","isValidEndianTag ","java.io.IOException ","com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
137,"IfStatement","null",false,"magic ","int ","","","java.io.IOException ","com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
138,"IfStatement","null",false,"ifd_offset ","long ","","","java.io.IOException ","com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
139,"IfStatement","null",false,"endian ","int ","","isValidEndianTag ","java.io.IOException ","",com.itextpdf.io.IOException
140,"IfStatement","null",false,"endian ","int ","","isValidEndianTag ","java.io.IOException ","com.itextpdf.io.IOException ",com.itextpdf.io.IOException
141,"IfStatement","null",false,"magic ","int ","","","java.io.IOException ","com.itextpdf.io.IOException ",com.itextpdf.io.IOException
142,"IfStatement","null",true,"","com.itextpdf.io.codec.TIFFField ","NULL ","","","",java.lang.IllegalArgumentException
143,"IfStatement","null",false,"","int ","","","java.io.IOException ","java.io.IOException ",java.io.IOException
144,"IfStatement","null",false,"","int ","","","java.io.IOException ","java.io.IOException ",java.io.IOException
145,"IfStatement","null",true,"decodabet the byte white_space_enc ","byte int byte ","0x7f ","","java.io.IOException ","",java.io.IOException
146,"IfStatement","null",false,"encode ","boolean ","","","java.io.IOException ","",java.io.IOException
147,"IfStatement","null",true,"data ","byte ","0x01 0x00 ","","","",com.itextpdf.io.IOException
148,"IfStatement","null",false,"read ","boolean ","","","java.io.IOException ","",java.lang.IllegalStateException
149,"IfStatement","null",false,"","com.itextpdf.io.codec.Jbig2SegmentReader.Jbig2Page ","NULL ","","java.io.IOException ","",com.itextpdf.io.IOException
150,"IfStatement","null",false,"count_of_referred_to_segments ","int ","","","java.io.IOException ","com.itextpdf.io.IOException ",com.itextpdf.io.IOException
151,"IfStatement","null",false,"segment_page_association ","int ","","","java.io.IOException ","com.itextpdf.io.IOException ",com.itextpdf.io.IOException
